name,domain,category,description,aliases,keywords,popularity
HubSpot,hubspot.com,Marketing,Marketing automation and CRM platform,"[""Hub Spot""]","[""marketing automation"",""crm"",""email""]",95
Marketo,marketo.com,Marketing,Enterprise marketing automation platform,"[]","[""marketing automation"",""b2b marketing""]",88
Salesforce,salesforce.com,Sales,Leading CRM platform,"[""SFDC""]","[""crm"",""sales"",""customer 360""]",100
Pipedrive,pipedrive.com,Sales,Sales CRM for SMBs,"[]","[""crm"",""pipeline""]",82
Zoho CRM,zoho.com/crm,Sales,CRM by Zoho for SMBs,"[""ZohoCRM""]","[""crm"",""sales""]",75
Zendesk,zendesk.com,Service,Customer support and ticketing platform,"[]","[""support"",""helpdesk""]",97
Intercom,intercom.com,Service,Customer messaging and support,"[]","[""chat"",""support"",""in-app messaging""]",92
Freshdesk,freshdesk.com,Service,Customer support helpdesk software,"[]","[""helpdesk"",""support""]",80
Slack,slack.com,Comms,Team messaging and collaboration,"[]","[""chat"",""messaging"",""collaboration""]",100
Microsoft Teams,teams.microsoft.com,Comms,Microsoft collaboration and meetings,"[""MS Teams"",""Teams""]","[""chat"",""video"",""microsoft 365""]",98
Zoom,zoom.us,Comms,Video conferencing platform,"[]","[""video"",""meetings"",""webinars""]",99
Google Meet,meet.google.com,Comms,Video meetings by Google,"[]","[""video"",""meetings"",""workspace""]",90
Webex,webex.com,Comms,Enterprise video conferencing,"[]","[""video"",""meetings""]",78
Asana,asana.com,Project Management,Project and task management,"[]","[""projects"",""tasks"",""collaboration""]",96
Trello,trello.com,Project Management,Kanban-style project boards,"[]","[""kanban"",""tasks""]",92
Monday.com,monday.com,Project Management,Work management platform,"[""Monday"]","[""projects"",""work management""]",94
ClickUp,clickup.com,Project Management,All-in-one productivity platform,"[]","[""projects"",""tasks"",""docs""]",85
Smartsheet,smartsheet.com,Project Management,Spreadsheet-like project management,"[]","[""projects"",""sheets""]",80
Basecamp,basecamp.com,Project Management,Project management and team communication,"[]","[""projects"",""pm""]",74
Notion,notion.so,Knowledge,Workspace for docs, wikis and projects,"[]","[""docs"",""wiki"",""notes""]",95
Confluence,atlassian.com/software/confluence,Knowledge,Team wiki and documentation,"[]","[""wiki"",""docs""]",86
Coda,coda.io,Knowledge,All-in-one docs platform,"[]","[""docs"",""tables""]",76
Airtable,airtable.com,Ops/NoCode,No-code database and apps,"[]","[""database"",""nocode"",""tables""]",92
Zapier,zapier.com,Ops/NoCode,Automation between apps,"[]","[""automation"",""integrations""]",96
Make,make.com,Ops/NoCode,Visual automation builder,"[""Integromat""]","[""automation"",""workflows""]",84
Retool,retool.com,Ops/NoCode,Internal tools builder,"[]","[""internal tools"",""builder""]",78
GitHub,github.com,Development,Code hosting and collaboration,"[]","[""git"",""code"",""ci""]",100
GitLab,gitlab.com,Development,DevOps lifecycle platform,"[]","[""git"",""ci/cd"",""devops""]",92
Bitbucket,bitbucket.org,Development,Code hosting by Atlassian,"[]","[""git"",""repos""]",78
CircleCI,circleci.com,Development,CI/CD platform,"[]","[""ci"",""cd""]",86
Jenkins,jenkins.io,Development,Automation server for CI/CD,"[]","[""ci"",""automation""]",80
Azure DevOps,azure.microsoft.com/services/devops,Development,Microsoft DevOps services,"[""ADO"",""VSTS""]","[""devops"",""ci/cd""]",85
SonarQube,sonarsource.com/products/sonarqube,Development,Code quality and security scanning,"[]","[""code quality"",""security""]",78
Snyk,snyk.io,Development,Developer-first security platform,"[]","[""sast"",""sca"",""security""]",82
Postman,postman.com,Development,API development and testing,"[]","[""api"",""testing""]",88
Datadog,datadoghq.com,Dev/IT,Monitoring and observability,"[]","[""monitoring"",""apm"",""logs""]",96
New Relic,newrelic.com,Dev/IT,Full-stack observability,"[]","[""apm"",""monitoring""]",86
Splunk,splunk.com,Dev/IT,Observability and SIEM,"[]","[""logs"",""siem"",""observability""]",88
Elastic,elastic.co,Dev/IT,Elasticsearch stack and observability,"[""ELK"",""Elastic Stack""]","[""search"",""logs"",""observability""]",85
PagerDuty,pagerduty.com,Dev/IT,Incident response platform,"[]","[""incidents"",""on-call""]",90
Opsgenie,opsgenie.com,Dev/IT,On-call and incident management,"[]","[""incidents"",""on-call""]",82
ServiceNow,servicenow.com,Service,IT service management platform,"[]","[""itsm"",""tickets""]",95
Jira Service Management,atlassian.com/software/jira/service-management,Service,ITSM by Atlassian,"[]","[""itsm"",""tickets"",""jira""]",88
Freshservice,freshworks.com/freshservice,Service,IT service management,"[]","[""itsm"",""service desk""]",80
Okta,okta.com,Security,Identity and SSO platform,"[]","[""sso"",""iam"",""mfa""]",95
Auth0,auth0.com,Security,Authentication and authorization,"[]","[""auth"",""jwt"",""sso""]",92
Duo Security,duo.com,Security,MFA and access security,"[]","[""mfa"",""2fa""]",84
1Password,1password.com,Security,Password manager for teams,"[]","[""passwords"",""vault""]",88
LastPass,lastpass.com,Security,Password manager,"[]","[""passwords"",""vault""]",76
CrowdStrike,crowdstrike.com,Security,Endpoint protection and EDR,"[]","[""edr"",""endpoint""]",90
SentinelOne,sentinelone.com,Security,Autonomous endpoint security,"[]","[""edr"",""endpoint""]",84
Snowflake,snowflake.com,Data,Cloud data platform,"[]","[""data warehouse"",""lakehouse""]",96
Databricks,databricks.com,Data,Data engineering and AI platform,"[]","[""spark"",""lakehouse""]",92
BigQuery,cloud.google.com/bigquery,Data,Google data warehouse,"[]","[""data warehouse"",""gcp""]",90
